COMPOUND,DOSE,ID,DV,TIME,TIME_UNIT,EVID,CENS,AMT,TINF,WT,UNIT,YTYPE,YDESC,MDV,STUDYID,SPECIES,SEX,SUBJECT_GROUP,STUDYID,DOSE_GROUP,ROUTE
DemoDrug,3,3,1015.96,1,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,714.658,2,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,500.599,3,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,354.922,4,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,255.038,5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,186.313,6,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,138.889,7,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,67.1642,10,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,55.8379,11,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,47.7342,12,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,34.187,15,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,31.6201,16,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,27.8754,18,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,25.1945,20,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,21.2849,24,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,4,4,.,0,h,1,0,125000,0.01,0.025,ng,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,1986.38,0.083,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,4249.09,0.25,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,5361.06,0.5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,5080.26,1,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,3573.22,2,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,2503,3,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,1774.61,4,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,1275.19,5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,931.566,6,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,694.447,7,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,335.821,10,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,279.189,11,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,238.671,12,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,170.935,15,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,158.1,16,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,139.376,18,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,125.978,20,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,4,4,106.431,24,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,4,.,.,SC
DemoDrug,5,5,.,0,h,1,0,375000,0.01,0.025,ng,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,5959.17,0.083,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,12746.4,0.25,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,16079.3,0.5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,15237.2,1,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,10719.9,2,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,7508.97,3,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,5323.83,4,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,3825.56,5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,2794.7,6,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,2083.34,7,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,1007.46,10,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,837.567,11,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,716.012,12,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,512.804,15,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,474.3,16,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,418.127,18,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,377.925,20,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
DemoDrug,5,5,319.284,24,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,5,.,.,SC
